Prop,OpcA,OpcB
Ganador del SB,SEA,NE
Ganador del Sorteo,SEA,NE
Puntos totales (incl. OT) 39.5,Over,Under
Ambos equipos anotan 19+ puntos,Si,No
Ambos equipos anotan 23+ puntos,Si,No
Mitad con más puntos,1M,2M
Habrá 1+ safeties en el juego,Si,No
NE 21+ Puntos,Si,No
SEA 21+ Puntos,Si,No
Habrá Tiempo Extra,Si,No
Primer Equipo en Anotar,SEA,NE
Primer equipo en anotar TD,SEA,NE
Cualquier equipo defensivo anota TD,Si,No
Drake Maye (QB NE) 34+ yardas corriendo,Si,No
Sam Darnold (QB NE) 12+ yardas corriendo,Si,No
Drake Maye (NE) 1.5 Pases de TD,Over,Under
Sam Darnold (SEA) 1.5 Pases de TD,Over,Under
Drake Maye (NE) 220+ yardas por pase,Si,No
Sam Darnold (SEA) 230+ yardas por pase,Si,No
Drake Maye será interceptado,Si,No
Sam Darnold será interceptado,Si,No
Stevenson (NE) 38.5 yardas por tierra,Over,Under
Walker III (SEA) 70.5 yardas por tierra,Over,Under
NE 1+ TD por carrera,Si,No
SEA 1+ TD por carrera,Si,No
Stefon Digs (NE) 4+ recepciones,Si,No
Smith-Njigba (SEA) 7+ recepciones,Si,No
NE 2+ Goles de Campo,Si,No
SEA 2+ Goles de Campo,Si,No
NE 2+ Capturas de QB,Si,No
SEA 2+ Capturas de QB,Si,No
NE hará fumble,Si,No
SEA hará fumble,Si,No
